NAME                                                       READY   STATUS              RESTARTS       AGE     IP               NODE                                 NOMINATED NODE   READINESS GATES
db-85fb7f7b9-6l54l                                         1/1     Running             0              162m    172.23.182.112   openstudio-179d-web-tq5p9-v5jpg      <none>           <none>
openstudio-server-nfs-server-provisioner-6bf4f79c4-jcz6f   1/1     Running             0              36m     172.19.104.219   openstudio-179d-web-tq5p9-mrcgs      <none>           <none>
redis-54895db8b7-jds7x                                     1/1     Running             0              162m    172.17.171.176   openstudio-179d-web-tq5p9-w952x      <none>           <none>
rserve-7d5cbdb64b-j8dzs                                    1/1     Running             0              162m    172.17.171.174   openstudio-179d-web-tq5p9-w952x      <none>           <none>
web-5f9c6bbcb6-tm56n                                       1/1     Running             0              36m     172.23.182.116   openstudio-179d-web-tq5p9-v5jpg      <none>           <none>
web-background-7bb56f5fb6-24fbm                            1/1     Running             0              162m    172.17.171.175   openstudio-179d-web-tq5p9-w952x      <none>           <none>
web-background-7bb56f5fb6-k528r                            1/1     Running             0              162m    172.23.182.65    openstudio-179d-web-tq5p9-v5jpg      <none>           <none>
worker-54568b5fb6-27pj9                                    1/1     Running             0              75m     172.18.195.76    openstudio-179d-worker-9rtc4-llk2j   <none>           <none>
worker-54568b5fb6-2b97n                                    1/1     Running             0              19m     172.23.182.66    openstudio-179d-web-tq5p9-v5jpg      <none>           <none>
worker-54568b5fb6-2p88r                                    1/1     Running             0              33m     172.22.83.73     openstudio-179d-worker-9rtc4-pqzdb   <none>           <none>
worker-54568b5fb6-47wrz                                    1/1     Running             0              36m     172.16.17.14     openstudio-179d-worker-9rtc4-xh26n   <none>           <none>
worker-54568b5fb6-4jb9m                                    1/1     Terminating         0              46m     172.23.182.68    openstudio-179d-web-tq5p9-v5jpg      <none>           <none>
worker-54568b5fb6-4t9wg                                    1/1     Running             0              43m     172.17.81.82     openstudio-179d-worker-9rtc4-9gk7k   <none>           <none>
worker-54568b5fb6-5ssfr                                    1/1     Running             0              36m     172.16.17.13     openstudio-179d-worker-9rtc4-xh26n   <none>           <none>
worker-54568b5fb6-5vzrq                                    1/1     Running             0              35m     172.22.69.138    openstudio-179d-worker-9rtc4-964ml   <none>           <none>
worker-54568b5fb6-5xw8p                                    1/1     Running             0              29m     172.23.182.127   openstudio-179d-web-tq5p9-v5jpg      <none>           <none>
worker-54568b5fb6-5zqmh                                    1/1     Running             0              32m     172.22.69.140    openstudio-179d-worker-9rtc4-964ml   <none>           <none>
worker-54568b5fb6-66qjn                                    1/1     Running             0              32m     172.22.83.78     openstudio-179d-worker-9rtc4-pqzdb   <none>           <none>
worker-54568b5fb6-6jn8d                                    1/1     Running             0              33m     172.22.83.72     openstudio-179d-worker-9rtc4-pqzdb   <none>           <none>
worker-54568b5fb6-6ln7z                                    1/1     Terminating         0              82m     172.23.182.74    openstudio-179d-web-tq5p9-v5jpg      <none>           <none>
worker-54568b5fb6-7gdkk                                    1/1     Running             0              74m     172.18.195.78    openstudio-179d-worker-9rtc4-llk2j   <none>           <none>
worker-54568b5fb6-7tmm9                                    1/1     Running             0              32m     172.22.83.80     openstudio-179d-worker-9rtc4-pqzdb   <none>           <none>
worker-54568b5fb6-87dxp                                    1/1     Running             0              36m     172.16.17.11     openstudio-179d-worker-9rtc4-xh26n   <none>           <none>
worker-54568b5fb6-8dnk6                                    1/1     Terminating         0              15m     172.19.109.75    openstudio-179d-worker-9rtc4-msqdd   <none>           <none>
worker-54568b5fb6-8rlwk                                    1/1     Running             0              32m     172.22.83.79     openstudio-179d-worker-9rtc4-pqzdb   <none>           <none>
worker-54568b5fb6-98x2s                                    1/1     Running             0              15m     172.19.109.77    openstudio-179d-worker-9rtc4-msqdd   <none>           <none>
worker-54568b5fb6-9npdd                                    1/1     Running             0              39m     172.16.17.10     openstudio-179d-worker-9rtc4-xh26n   <none>           <none>
worker-54568b5fb6-bcslp                                    1/1     Running             0              15m     172.16.148.215   openstudio-179d-worker-9rtc4-vkfwc   <none>           <none>
worker-54568b5fb6-bhqf6                                    1/1     Running             0              43m     172.16.171.24    openstudio-179d-worker-9rtc4-pqsdz   <none>           <none>
worker-54568b5fb6-blwml                                    1/1     Running             0              82m     172.21.191.71    openstudio-179d-worker-9rtc4-z9cln   <none>           <none>
worker-54568b5fb6-bxlqt                                    1/1     Running             0              34m     172.22.83.66     openstudio-179d-worker-9rtc4-pqzdb   <none>           <none>
worker-54568b5fb6-ccpxb                                    1/1     Running             0              40m     172.22.69.135    openstudio-179d-worker-9rtc4-964ml   <none>           <none>
worker-54568b5fb6-dbv52                                    1/1     Running             0              33m     172.22.83.75     openstudio-179d-worker-9rtc4-pqzdb   <none>           <none>
worker-54568b5fb6-dnjpx                                    1/1     Running             0              32m     172.22.69.144    openstudio-179d-worker-9rtc4-964ml   <none>           <none>
worker-54568b5fb6-dw25f                                    1/1     Running             0              12m     172.22.237.88    openstudio-179d-worker-9rtc4-zfv7b   <none>           <none>
worker-54568b5fb6-dwcvq                                    1/1     Running             0              40m     172.20.203.14    openstudio-179d-worker-9rtc4-tnv42   <none>           <none>
worker-54568b5fb6-fjnfw                                    1/1     Running             0              48m     172.17.246.10    openstudio-179d-worker-9rtc4-784j2   <none>           <none>
worker-54568b5fb6-fr52b                                    1/1     Running             0              49m     172.22.26.21     openstudio-179d-worker-9rtc4-cwz6s   <none>           <none>
worker-54568b5fb6-fspwv                                    1/1     Terminating         0              15m     172.19.109.74    openstudio-179d-worker-9rtc4-msqdd   <none>           <none>
worker-54568b5fb6-g4chw                                    1/1     Running             0              41m     172.20.203.11    openstudio-179d-worker-9rtc4-tnv42   <none>           <none>
worker-54568b5fb6-ghmjh                                    1/1     Running             0              48m     172.17.246.9     openstudio-179d-worker-9rtc4-784j2   <none>           <none>
worker-54568b5fb6-gzsg6                                    1/1     Running             0              36m     172.16.17.15     openstudio-179d-worker-9rtc4-xh26n   <none>           <none>
worker-54568b5fb6-h5pqv                                    1/1     Terminating         0              15m     172.19.109.76    openstudio-179d-worker-9rtc4-msqdd   <none>           <none>
worker-54568b5fb6-hd4vg                                    1/1     Running             0              33m     172.16.17.20     openstudio-179d-worker-9rtc4-xh26n   <none>           <none>
worker-54568b5fb6-jnqkq                                    1/1     Running             0              35m     172.16.17.17     openstudio-179d-worker-9rtc4-xh26n   <none>           <none>
worker-54568b5fb6-jp2lm                                    1/1     Running             0              46m     172.17.246.16    openstudio-179d-worker-9rtc4-784j2   <none>           <none>
worker-54568b5fb6-jt9b6                                    1/1     Running             0              32m     172.22.83.76     openstudio-179d-worker-9rtc4-pqzdb   <none>           <none>
worker-54568b5fb6-jtsw2                                    1/1     Running             0              50m     172.16.171.15    openstudio-179d-worker-9rtc4-pqsdz   <none>           <none>
worker-54568b5fb6-jxk5t                                    1/1     Running             0              34m     172.22.83.71     openstudio-179d-worker-9rtc4-pqzdb   <none>           <none>
worker-54568b5fb6-k2nt9                                    1/1     Running             0              76m     172.21.191.80    openstudio-179d-worker-9rtc4-z9cln   <none>           <none>
worker-54568b5fb6-k49dn                                    1/1     Running             0              15m     172.19.109.81    openstudio-179d-worker-9rtc4-msqdd   <none>           <none>
worker-54568b5fb6-kmnmj                                    1/1     Terminating         0              82m     172.19.104.203   openstudio-179d-web-tq5p9-mrcgs      <none>           <none>
worker-54568b5fb6-kmq92                                    1/1     Running             0              34m     172.16.17.18     openstudio-179d-worker-9rtc4-xh26n   <none>           <none>
worker-54568b5fb6-ktvnb                                    1/1     Running             0              78m     172.21.191.79    openstudio-179d-worker-9rtc4-z9cln   <none>           <none>
worker-54568b5fb6-kzb6r                                    1/1     Running             0              44m     172.16.171.22    openstudio-179d-worker-9rtc4-pqsdz   <none>           <none>
worker-54568b5fb6-l2tf5                                    1/1     Running             0              40m     172.20.203.13    openstudio-179d-worker-9rtc4-tnv42   <none>           <none>
worker-54568b5fb6-lk5mq                                    1/1     Running             0              32m     172.22.69.142    openstudio-179d-worker-9rtc4-964ml   <none>           <none>
worker-54568b5fb6-lmrpb                                    1/1     Terminating         0              49m     172.22.26.20     openstudio-179d-worker-9rtc4-cwz6s   <none>           <none>
worker-54568b5fb6-lwphm                                    1/1     Running             0              50m     172.22.26.16     openstudio-179d-worker-9rtc4-cwz6s   <none>           <none>
worker-54568b5fb6-mdnkv                                    1/1     Terminating         0              15m     172.19.109.73    openstudio-179d-worker-9rtc4-msqdd   <none>           <none>
worker-54568b5fb6-mjfrl                                    1/1     Running             0              31m     172.22.69.143    openstudio-179d-worker-9rtc4-964ml   <none>           <none>
worker-54568b5fb6-mjhtb                                    1/1     Running             0              32m     172.22.69.141    openstudio-179d-worker-9rtc4-964ml   <none>           <none>
worker-54568b5fb6-mqjph                                    1/1     Running             0              48m     172.22.26.25     openstudio-179d-worker-9rtc4-cwz6s   <none>           <none>
worker-54568b5fb6-nm5pb                                    1/1     Running             0              36m     172.16.17.12     openstudio-179d-worker-9rtc4-xh26n   <none>           <none>
worker-54568b5fb6-p7cv2                                    1/1     Running             0              30m     172.23.182.76    openstudio-179d-web-tq5p9-v5jpg      <none>           <none>
worker-54568b5fb6-pgd6m                                    1/1     Running             0              47m     172.17.17.208    openstudio-179d-worker-9rtc4-zbpkv   <none>           <none>
worker-54568b5fb6-qd2h7                                    1/1     Running             0              76m     172.16.157.95    openstudio-179d-worker-9rtc4-qzrnh   <none>           <none>
worker-54568b5fb6-qgrcq                                    1/1     Running             0              43m     172.16.171.23    openstudio-179d-worker-9rtc4-pqsdz   <none>           <none>
worker-54568b5fb6-qj9jj                                    1/1     Terminating         0              19m     172.19.109.72    openstudio-179d-worker-9rtc4-msqdd   <none>           <none>
worker-54568b5fb6-qrpxm                                    1/1     Running             0              48m     172.17.246.3     openstudio-179d-worker-9rtc4-784j2   <none>           <none>
worker-54568b5fb6-qscng                                    1/1     Running             0              15m     172.17.171.149   openstudio-179d-web-tq5p9-w952x      <none>           <none>
worker-54568b5fb6-rnhxg                                    1/1     Running             0              12m     172.16.35.153    openstudio-179d-worker-9rtc4-h457w   <none>           <none>
worker-54568b5fb6-rx4zz                                    1/1     Running             0              43m     172.17.81.77     openstudio-179d-worker-9rtc4-9gk7k   <none>           <none>
worker-54568b5fb6-s2z72                                    1/1     Running             0              19m     172.19.109.71    openstudio-179d-worker-9rtc4-msqdd   <none>           <none>
worker-54568b5fb6-sbsg6                                    1/1     Running             0              32m     172.22.83.77     openstudio-179d-worker-9rtc4-pqzdb   <none>           <none>
worker-54568b5fb6-sqbj6                                    1/1     Running             0              75m     172.16.157.98    openstudio-179d-worker-9rtc4-qzrnh   <none>           <none>
worker-54568b5fb6-swvz5                                    1/1     Running             0              50m     172.22.26.17     openstudio-179d-worker-9rtc4-cwz6s   <none>           <none>
worker-54568b5fb6-t95fd                                    1/1     Running             0              32m     172.22.69.139    openstudio-179d-worker-9rtc4-964ml   <none>           <none>
worker-54568b5fb6-tgnjr                                    1/1     Running             0              35m     172.16.17.16     openstudio-179d-worker-9rtc4-xh26n   <none>           <none>
worker-54568b5fb6-tprtd                                    1/1     Running             0              43m     172.17.246.18    openstudio-179d-worker-9rtc4-784j2   <none>           <none>
worker-54568b5fb6-v74ht                                    1/1     Running             0              34m     172.16.17.19     openstudio-179d-worker-9rtc4-xh26n   <none>           <none>
worker-54568b5fb6-v86q7                                    1/1     Terminating         0              15m     172.19.109.79    openstudio-179d-worker-9rtc4-msqdd   <none>           <none>
