NAME                                                          READY   STATUS    RESTARTS   AGE     IP               NODE                                  NOMINATED NODE   READINESS GATES
coredns-674b8bbfcf-2pd47                                      1/1     Running   0          3d18h   172.18.54.203    openstudio-179d-control-plane-7g699   <none>           <none>
coredns-674b8bbfcf-gv8ph                                      1/1     Running   0          3d18h   172.18.54.200    openstudio-179d-control-plane-7g699   <none>           <none>
etcd-openstudio-179d-control-plane-7g699                      1/1     Running   0          2d17h   192.168.3.248    openstudio-179d-control-plane-7g699   <none>           <none>
etcd-openstudio-179d-control-plane-rzqr5                      1/1     Running   0          2d17h   192.168.3.230    openstudio-179d-control-plane-rzqr5   <none>           <none>
etcd-openstudio-179d-control-plane-xpbld                      1/1     Running   0          2d17h   192.168.3.18     openstudio-179d-control-plane-xpbld   <none>           <none>
kube-apiserver-openstudio-179d-control-plane-7g699            1/1     Running   0          3d18h   192.168.3.248    openstudio-179d-control-plane-7g699   <none>           <none>
kube-apiserver-openstudio-179d-control-plane-rzqr5            1/1     Running   0          3d18h   192.168.3.230    openstudio-179d-control-plane-rzqr5   <none>           <none>
kube-apiserver-openstudio-179d-control-plane-xpbld            1/1     Running   0          3d18h   192.168.3.18     openstudio-179d-control-plane-xpbld   <none>           <none>
kube-controller-manager-openstudio-179d-control-plane-7g699   1/1     Running   0          2d18h   192.168.3.248    openstudio-179d-control-plane-7g699   <none>           <none>
kube-controller-manager-openstudio-179d-control-plane-rzqr5   1/1     Running   0          2d18h   192.168.3.230    openstudio-179d-control-plane-rzqr5   <none>           <none>
kube-controller-manager-openstudio-179d-control-plane-xpbld   1/1     Running   0          2d18h   192.168.3.18     openstudio-179d-control-plane-xpbld   <none>           <none>
kube-proxy-2976r                                              1/1     Running   0          108m    192.168.3.251    openstudio-179d-worker-9rtc4-b464t    <none>           <none>
kube-proxy-2bz94                                              1/1     Running   0          111m    192.168.3.65     openstudio-179d-worker-9rtc4-9nwln    <none>           <none>
kube-proxy-2cs8f                                              1/1     Running   0          112m    192.168.3.73     openstudio-179d-worker-9rtc4-xw5d5    <none>           <none>
kube-proxy-2nxqh                                              1/1     Running   0          144m    192.168.3.226    openstudio-179d-worker-9rtc4-c2snr    <none>           <none>
kube-proxy-42fwc                                              1/1     Running   0          110m    192.168.3.114    openstudio-179d-worker-9rtc4-mftnc    <none>           <none>
kube-proxy-47wl9                                              1/1     Running   0          77m     192.168.3.121    openstudio-179d-worker-9rtc4-w5kdf    <none>           <none>
kube-proxy-4gj22                                              1/1     Running   0          84m     192.168.3.25     openstudio-179d-worker-9rtc4-hjgnv    <none>           <none>
kube-proxy-4jdjg                                              1/1     Running   0          103m    192.168.3.54     openstudio-179d-worker-9rtc4-vkfwc    <none>           <none>
