NAME                                  STATUS     ROLES           AGE     VERSION
openstudio-179d-control-plane-7g699   Ready      control-plane   3d18h   v1.33.1
openstudio-179d-control-plane-rzqr5   Ready      control-plane   3d18h   v1.33.1
openstudio-179d-control-plane-xpbld   Ready      control-plane   3d18h   v1.33.1
openstudio-179d-web-tq5p9-mrcgs       Ready      <none>          62m     v1.33.1
openstudio-179d-web-tq5p9-v5jpg       Ready      <none>          15h     v1.33.1
openstudio-179d-web-tq5p9-w952x       Ready      <none>          4h48m   v1.33.1
openstudio-179d-worker-9rtc4-255cv    Ready      <none>          95m     v1.33.1
openstudio-179d-worker-9rtc4-25f8j    Ready      <none>          135m    v1.33.1
openstudio-179d-worker-9rtc4-267h2    Ready      <none>          63m     v1.33.1
openstudio-179d-worker-9rtc4-2fbn5    Ready      <none>          85m     v1.33.1
openstudio-179d-worker-9rtc4-2fg84    Ready      <none>          94m     v1.33.1
openstudio-179d-worker-9rtc4-2ng7h    Ready      <none>          94m     v1.33.1
openstudio-179d-worker-9rtc4-2qrr2    Ready      <none>          62m     v1.33.1
openstudio-179d-worker-9rtc4-2zgh8    Ready      <none>          95m     v1.33.1
openstudio-179d-worker-9rtc4-45l6d    Ready      <none>          91m     v1.33.1
openstudio-179d-worker-9rtc4-46hcl    Ready      <none>          93m     v1.33.1
openstudio-179d-worker-9rtc4-46rwz    Ready      <none>          94m     v1.33.1
openstudio-179d-worker-9rtc4-4h7g9    Ready      <none>          90m     v1.33.1
openstudio-179d-worker-9rtc4-4hspr    Ready      <none>          92m     v1.33.1
openstudio-179d-worker-9rtc4-4rntj    Ready      <none>          94m     v1.33.1
openstudio-179d-worker-9rtc4-4xwmp    Ready      <none>          67m     v1.33.1
openstudio-179d-worker-9rtc4-572ps    Ready      <none>          57m     v1.33.1
openstudio-179d-worker-9rtc4-64t6m    Ready      <none>          56m     v1.33.1
openstudio-179d-worker-9rtc4-68zfp    Ready      <none>          92m     v1.33.1
openstudio-179d-worker-9rtc4-6dnh2    Ready      <none>          95m     v1.33.1
openstudio-179d-worker-9rtc4-6p9bz    Ready      <none>          87m     v1.33.1
openstudio-179d-worker-9rtc4-6qt9b    Ready      <none>          63m     v1.33.1
openstudio-179d-worker-9rtc4-6t5vf    Ready      <none>          94m     v1.33.1
openstudio-179d-worker-9rtc4-75hqc    Ready      <none>          67m     v1.33.1
openstudio-179d-worker-9rtc4-77ssn    Ready      <none>          87m     v1.33.1
openstudio-179d-worker-9rtc4-784j2    Ready      <none>          32m     v1.33.1
