REVISION	UPDATED                 	STATUS    	CHART                  	APP VERSION	DESCRIPTION                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
1       	Thu Jun  4 17:44:32 2026	failed    	openstudio-server-0.5.2	3.8.0-1    	Release "openstudio-server" failed: resource Deployment/kube-system/cluster-autoscaler not ready. status: Failed, message: Progress deadline exceeded                                                                                                                                                                                                                                                                                                                            
2       	Thu Jun  4 17:59:28 2026	failed    	openstudio-server-0.5.2	3.8.0-1    	Upgrade "openstudio-server" failed: conflict occurred while applying object openstudio-server/worker apps/v1, Kind=Deployment: Apply failed with 1 conflict: conflict with "kube-controller-manager" with subresource "scale" using apps/v1: .spec.replicas                                                                                                                                                                                                                      
3       	Thu Jun  4 17:59:40 2026	superseded	openstudio-server-0.5.2	3.8.0-1    	Upgrade "openstudio-server" failed: invalid operation: cannot use server-side apply and force replace together                                                                                                                                                                                                                                                                                                                                                                   
4       	Thu Jun  4 17:59:48 2026	superseded	openstudio-server-0.5.2	3.8.0-1    	Upgrade complete                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
5       	Thu Jun  4 18:15:51 2026	failed    	openstudio-server-0.5.2	3.8.0-1    	Upgrade "openstudio-server" failed: context canceled                                                                                                                                                                                                                                                                                                                                                                                                                             
6       	Thu Jun  4 18:16:39 2026	superseded	openstudio-server-0.5.2	3.8.0-1    	Upgrade complete                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
7       	Thu Jun  4 18:18:56 2026	superseded	openstudio-server-0.5.2	3.8.0-1    	Upgrade complete                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
8       	Thu Jun  4 20:25:40 2026	failed    	openstudio-server-0.5.2	3.8.0-1    	Upgrade "openstudio-server" failed: conflict occurred while applying object openstudio-server/worker apps/v1, Kind=Deployment: Apply failed with 1 conflict: conflict with "kube-controller-manager" with subresource "scale" using apps/v1: .spec.replicas && conflict occurred while applying object openstudio-server/worker autoscaling/v2, Kind=HorizontalPodAutoscaler: Apply failed with 1 conflict: conflict with "kubectl-patch" using autoscaling/v2: .spec.maxReplicas
9       	Thu Jun  4 20:52:23 2026	deployed  	openstudio-server-0.5.2	3.8.0-1    	Reconcile release after SSA conflicts                                                                                                                                                                                                                                                                                                                                                                                                                                            
